benchmark,onnx_file,vnnlib_file,verdict,wall_s,train_s,verify_s,vnncomp_timeout_s,coverage,q,epsilon_total,delta_total,amls_bounded_eps_2_upper,amls_bounded_detected_unsafe,amls_levels_used,cex_x,cex_y,error,timestamp
acasxu_2023,ACASXU_run2a_5_8_batch_2000.onnx,prop_1.vnnlib,UNSAT,41.8,30.0,11.3,116,1.0000,16.8289,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:30:05.357928+00:00
acasxu_2023,ACASXU_run2a_5_9_batch_2000.onnx,prop_1.vnnlib,UNSAT,42.6,30.3,11.8,116,1.0000,7.5347,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:30:56.647857+00:00
acasxu_2023,ACASXU_run2a_1_1_batch_2000.onnx,prop_2.vnnlib,UNSAT,45.6,30.1,15.0,116,0.9995,5.4577,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:31:50.387044+00:00
acasxu_2023,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,33.9,26.2,7.2,116,0.9985,14.0186,0.0010,0.9960,1.1160e-17,True,15,,,,2026-05-02T00:32:32.926869+00:00
acasxu_2023,ACASXU_run2a_1_3_batch_2000.onnx,prop_2.vnnlib,UNSAT,40.0,28.1,11.6,116,1.0000,7.2105,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:33:21.684646+00:00
acasxu_2023,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,25.4,24.9,0.1,116,1.0000,8.9962,0.0075,0.9960,6.5147e-03,True,1,,,,2026-05-02T00:33:55.798112+00:00
acasxu_2023,ACASXU_run2a_1_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,34.3,27.2,6.5,116,0.9995,8.4537,0.0010,0.9960,1.2048e-20,True,18,,,,2026-05-02T00:34:38.418523+00:00
acasxu_2023,ACASXU_run2a_1_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,33.6,33.0,0.1,116,1.0000,7.9110,0.0108,0.9960,9.7822e-03,True,1,,,,2026-05-02T00:35:20.747787+00:00
acasxu_2023,ACASXU_run2a_1_7_batch_2000.onnx,prop_2.vnnlib,UNSAT,38.8,26.8,11.5,116,1.0000,4.6281,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:36:07.965853+00:00
acasxu_2023,ACASXU_run2a_1_8_batch_2000.onnx,prop_2.vnnlib,UNSAT,37.4,25.6,11.4,116,1.0000,5.2806,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:36:54.282814+00:00
acasxu_2023,ACASXU_run2a_1_9_batch_2000.onnx,prop_2.vnnlib,UNSAT,37.5,25.7,11.4,116,1.0000,7.1864,0.0010,0.9960,3.1125e-30,False,30,,,,2026-05-02T00:37:40.455215+00:00
acasxu_2023,ACASXU_run2a_2_1_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.5,26.9,0.1,116,0.9995,5.9004,0.0499,0.9960,4.8995e-02,True,1,,,,2026-05-02T00:38:16.661271+00:00
acasxu_2023,ACASXU_run2a_2_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,31.9,31.3,0.1,116,0.9995,8.6997,0.0752,0.9960,7.4235e-02,True,1,,,,2026-05-02T00:38:57.033128+00:00
acasxu_2023,ACASXU_run2a_2_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.9,27.4,0.1,116,1.0000,8.1387,0.0435,0.9960,4.2508e-02,True,1,,,,2026-05-02T00:39:32.140678+00:00
acasxu_2023,ACASXU_run2a_2_4_batch_2000.onnx,prop_2.vnnlib,SAT,0.3,0.0,0.0,116,,,,,,,,"[0.6548578143119812, 0.0036688223481178284, 0.19018052518367767, 0.44999998807907104, -0.4750000238418579]","[0.022024087607860565, -0.02145729772746563, 0.021109454333782196, -0.01763240247964859, 0.021624187007546425]",,2026-05-02T00:39:40.071327+00:00
acasxu_2023,ACASXU_run2a_2_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,34.3,33.7,0.1,116,0.9995,11.1201,0.0768,0.9960,7.5926e-02,True,1,,,,2026-05-02T00:40:22.687793+00:00
acasxu_2023,ACASXU_run2a_2_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,30.4,29.9,0.1,116,0.9985,5.2440,0.0417,0.9960,4.0721e-02,True,1,,,,2026-05-02T00:41:01.959723+00:00
acasxu_2023,ACASXU_run2a_2_7_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,26.3,25.8,0.1,116,0.9990,29.0009,0.0661,0.9960,6.5160e-02,True,1,,,,2026-05-02T00:41:36.782230+00:00
acasxu_2023,ACASXU_run2a_2_8_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,34.7,34.2,0.1,116,1.0000,48.4936,0.0785,0.9960,7.7614e-02,True,1,,,,2026-05-02T00:42:19.860051+00:00
acasxu_2023,ACASXU_run2a_2_9_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.5,26.9,0.1,116,1.0000,5.7266,0.0344,0.9960,3.3481e-02,True,1,,,,2026-05-02T00:42:56.063188+00:00
acasxu_2023,ACASXU_run2a_3_1_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,30.7,30.1,0.1,116,1.0000,7.2076,0.0238,0.9960,2.2854e-02,True,1,,,,2026-05-02T00:43:35.428667+00:00
acasxu_2023,ACASXU_run2a_3_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,30.0,29.5,0.1,116,1.0000,10.6618,0.0144,0.9960,1.3462e-02,True,1,,,,2026-05-02T00:44:14.195270+00:00
acasxu_2023,ACASXU_run2a_3_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,24.9,24.4,0.1,116,1.0000,10.3249,0.0144,0.9960,1.3462e-02,True,1,,,,2026-05-02T00:44:47.660556+00:00
acasxu_2023,ACASXU_run2a_3_4_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,29.5,28.9,0.1,116,1.0000,9.1313,0.0270,0.9960,2.6039e-02,True,1,,,,2026-05-02T00:45:25.448976+00:00
acasxu_2023,ACASXU_run2a_3_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,28.2,27.6,0.1,116,1.0000,11.2574,0.0740,0.9960,7.3106e-02,True,1,,,,2026-05-02T00:46:02.274508+00:00
acasxu_2023,ACASXU_run2a_3_6_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,32.4,32.0,0.1,116,1.0000,11.6763,0.0417,0.9960,4.0721e-02,True,1,,,,2026-05-02T00:46:43.430482+00:00
acasxu_2023,ACASXU_run2a_3_7_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,29.8,29.2,0.1,116,1.0000,15.6895,0.0212,0.9960,2.0255e-02,True,1,,,,2026-05-02T00:47:21.755912+00:00
acasxu_2023,ACASXU_run2a_3_8_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.7,27.1,0.1,116,1.0000,6.7355,0.0569,0.9960,5.5975e-02,True,1,,,,2026-05-02T00:47:57.988890+00:00
acasxu_2023,ACASXU_run2a_3_9_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,25.4,24.9,0.1,116,1.0000,15.1697,0.1216,0.9960,1.2070e-01,True,1,,,,2026-05-02T00:48:30.047342+00:00
acasxu_2023,ACASXU_run2a_4_1_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.7,27.2,0.1,116,1.0000,332.9619,0.0257,0.9960,2.4772e-02,True,1,,,,2026-05-02T00:49:06.125232+00:00
acasxu_2023,ACASXU_run2a_4_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,29.6,29.0,0.1,116,1.0000,7.2748,0.0084,0.9960,7.3771e-03,True,1,,,,2026-05-02T00:49:44.454095+00:00
acasxu_2023,ACASXU_run2a_4_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.6,27.1,0.1,116,1.0000,12.0897,0.0212,0.9960,2.0255e-02,True,1,,,,2026-05-02T00:50:20.833728+00:00
acasxu_2023,ACASXU_run2a_4_4_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,29.7,29.2,0.1,116,1.0000,22.4157,0.0144,0.9960,1.3462e-02,True,1,,,,2026-05-02T00:50:59.301590+00:00
acasxu_2023,ACASXU_run2a_4_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,25.7,25.2,0.1,116,0.9990,10.4646,0.0130,0.9960,1.2024e-02,True,1,,,,2026-05-02T00:51:33.013274+00:00
acasxu_2023,ACASXU_run2a_4_6_batch_2000.onnx,prop_2.vnnlib,SAT,0.3,0.0,0.0,116,,,,,,,,"[0.6500000357627869, 0.0036688223481178284, 0.11518053710460663, 0.44999998807907104, -0.44999998807907104]","[0.029788164421916008, -0.019279589876532555, 0.022478660568594933, -0.016535887494683266, 0.02105345018208027]",,2026-05-02T00:51:40.503243+00:00
acasxu_2023,ACASXU_run2a_4_7_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,34.2,33.6,0.1,116,1.0000,9.2532,0.0405,0.9960,3.9526e-02,True,1,,,,2026-05-02T00:52:22.944422+00:00
acasxu_2023,ACASXU_run2a_4_8_batch_2000.onnx,prop_2.vnnlib,SAT,0.3,0.0,0.0,116,,,,,,,,"[0.612500011920929, -0.008831177838146687, 0.10268053412437439, 0.44999998807907104, -0.44999998807907104]","[0.07389570772647858, -0.031346581876277924, 0.022177433595061302, -0.015995310619473457, 0.019483987241983414]",,2026-05-02T00:52:30.915428+00:00
acasxu_2023,ACASXU_run2a_4_9_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,32.6,32.1,0.1,116,0.9990,16.9977,0.0257,0.9960,2.4772e-02,True,1,,,,2026-05-02T00:53:11.739113+00:00
acasxu_2023,ACASXU_run2a_5_1_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,28.6,28.0,0.1,116,0.9995,6.0393,0.0283,0.9960,2.7298e-02,True,1,,,,2026-05-02T00:53:48.855382+00:00
acasxu_2023,ACASXU_run2a_5_2_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.8,27.4,0.1,116,1.0000,8.0864,0.0523,0.9960,5.1331e-02,True,1,,,,2026-05-02T00:54:25.550699+00:00
acasxu_2023,ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,26.3,25.8,0.1,116,1.0000,9.3837,0.0172,0.9960,1.6244e-02,True,1,,,,2026-05-02T00:55:00.406511+00:00
acasxu_2023,ACASXU_run2a_5_4_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,32.7,32.2,0.1,116,1.0000,6.9354,0.0604,0.9960,5.9434e-02,True,1,,,,2026-05-02T00:55:41.502683+00:00
acasxu_2023,ACASXU_run2a_5_5_batch_2000.onnx,prop_2.vnnlib,UNKNOWN,27.2,26.7,0.1,116,1.0000,9.4621,0.0723,0.9960,7.1409e-02,True,1,,,,2026-05-02T00:56:17.227949+00:00
