benchmark,instance,method,hp_name,m,n_train,flow_epochs,scenario_n_samples,verdict,wall_s,vnncomp_timeout_s,coverage_empirical,coverage_n_test,q,epsilon_total,delta_total,error,timestamp
vit_small_cifar10,cifar10_test_0001_label_8,hashemi_clipping,m=500,500,,,,UNKNOWN,52.3,600,0.9990,1000,,0.0010,,,2026-04-28T08:36:21+00:00
vit_small_cifar10,cifar10_test_0002_label_8,hashemi_clipping,m=500,500,,,,SAT,52.4,600,0.9970,1000,,0.0010,,,2026-04-28T08:37:13+00:00
vit_small_cifar10,cifar10_test_0000_label_3,hashemi_clipping,m=2000,2000,,,,UNSAT,136.0,600,0.9990,1000,,0.0010,,,2026-04-28T08:39:29+00:00
vit_small_cifar10,cifar10_test_0001_label_8,hashemi_clipping,m=2000,2000,,,,UNKNOWN,135.4,600,1.0000,1000,,0.0010,,,2026-04-28T08:41:45+00:00
vit_small_cifar10,cifar10_test_0002_label_8,hashemi_clipping,m=2000,2000,,,,SAT,134.0,600,1.0000,1000,,0.0010,,,2026-04-28T08:43:59+00:00
vit_small_cifar10,cifar10_test_0000_label_3,hashemi_clipping,m=8000,8000,,,,UNSAT,511.0,600,1.0000,1000,,0.0010,,,2026-04-28T08:52:30+00:00
vit_small_cifar10,cifar10_test_0001_label_8,hashemi_clipping,m=8000,8000,,,,UNKNOWN,450.4,600,1.0000,1000,,0.0010,,,2026-04-28T09:00:00+00:00
vit_small_cifar10,cifar10_test_0002_label_8,hashemi_clipping,m=8000,8000,,,,SAT,455.3,600,1.0000,1000,,0.0010,,,2026-04-28T09:07:35+00:00
vit_small_cifar10,cifar10_test_0000_label_3,ours,small,,1000,1000,500,UNKNOWN,523.4,600,1.0000,,6.7014,0.0010,0.9960,,2026-04-28T09:16:19+00:00
vit_small_cifar10,cifar10_test_0001_label_8,ours,small,,1000,1000,500,UNKNOWN,469.8,600,1.0000,,6.1401,0.0010,0.9960,,2026-04-28T09:24:09+00:00
vit_small_cifar10,cifar10_test_0002_label_8,ours,small,,1000,1000,500,UNKNOWN,459.4,600,1.0000,,6.8029,0.0010,0.9960,,2026-04-28T09:31:48+00:00
vit_small_cifar10,cifar10_test_0000_label_3,ours,medium,,2000,2000,1000,UNKNOWN,508.7,600,0.9995,,6.5048,0.0010,0.9960,,2026-04-28T09:40:17+00:00
vit_small_cifar10,cifar10_test_0001_label_8,ours,medium,,2000,2000,1000,UNKNOWN,520.0,600,0.9995,,5.2664,0.0010,0.9960,,2026-04-28T09:48:57+00:00
vit_small_cifar10,cifar10_test_0002_label_8,ours,medium,,2000,2000,1000,UNKNOWN,510.3,600,1.0000,,5.9694,0.0010,0.9960,,2026-04-28T09:57:27+00:00
vit_small_cifar10,cifar10_test_0000_label_3,ours,full,,5000,2000,2000,TIMEOUT,600.0,600,,,,,,timeout 600s,2026-04-28T10:07:27+00:00
vit_small_cifar10,cifar10_test_0001_label_8,ours,full,,5000,2000,2000,SKIPPED,,600,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T10:07:27+00:00
vit_small_cifar10,cifar10_test_0002_label_8,ours,full,,5000,2000,2000,SKIPPED,,600,,,,,,skipped after instance 1 TIMEOUT,2026-04-28T10:07:27+00:00
