instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
58,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,40.513744,0.9995,4.4504e-03,,26.3,0.1,26.4,,2026-05-06T19:51:28.583194+00:00
59,0,ACASXU_run2a_5_1_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.490248,1.0000,1.3450e-03,,28.2,0.3,28.5,,2026-05-06T19:52:19.537725+00:00
60,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.958579,0.9995,1.3450e-03,,28.8,0.3,29.1,,2026-05-06T19:53:18.989332+00:00
61,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.242738,1.0000,1.3450e-03,,29.9,0.3,30.2,,2026-05-06T19:54:19.564774+00:00
62,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,5.042088,0.9990,1.3450e-03,,29.8,0.3,30.1,,2026-05-06T19:55:19.337264+00:00
63,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.097198,1.0000,1.3450e-03,,30.2,0.3,30.5,,2026-05-06T19:56:20.354623+00:00
64,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,10.464707,0.9990,4.4504e-03,,29.8,0.1,29.9,,2026-05-06T19:57:14.315094+00:00
65,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,5.724533,1.0000,4.4504e-03,,29.3,0.1,29.4,,2026-05-06T19:57:43.892162+00:00
66,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,6.929574,1.0000,4.4504e-03,,29.0,0.1,29.1,,2026-05-06T19:58:35.739493+00:00
67,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,unsat,scenario,UNKNOWN,4.326838,1.0000,1.3450e-03,,29.3,0.4,29.6,,2026-05-06T19:59:28.077508+00:00
68,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,sat,scenario,UNSAT,35.192654,1.0000,1.6901e-03,,26.9,0.6,27.6,,2026-05-06T19:59:57.621641+00:00
69,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,7.535172,1.0000,4.4504e-03,,28.3,0.1,28.4,,2026-05-06T20:00:38.546549+00:00
70,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,11.257613,1.0000,4.4504e-03,,27.4,0.1,27.5,,2026-05-06T20:01:06.234388+00:00
71,0,ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,11.673091,1.0000,4.4504e-03,,29.3,0.1,29.4,,2026-05-06T20:02:01.027413+00:00
72,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,40.513744,0.9995,4.4504e-03,,29.0,0.1,29.1,,2026-05-06T20:02:52.921004+00:00
73,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,7.535172,1.0000,4.4504e-03,,24.9,0.1,25.0,,2026-05-06T20:03:18.168708+00:00
74,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,332.995483,1.0000,4.4504e-03,,30.1,0.1,30.2,,2026-05-06T20:04:11.057223+00:00
75,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,10.464707,0.9990,4.4504e-03,,29.6,0.1,29.7,,2026-05-06T20:05:05.871767+00:00
76,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,3.814319,0.9995,1.3450e-03,,28.8,0.3,29.1,,2026-05-06T20:05:57.445434+00:00
77,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.887973,1.0000,1.3450e-03,,27.5,0.3,27.8,,2026-05-06T20:06:47.600817+00:00
78,0,ACASXU_run2a_5_5_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,9.462578,1.0000,4.4504e-03,,27.4,0.1,27.5,,2026-05-06T20:07:37.530492+00:00
79,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.490927,0.9990,1.3450e-03,,28.9,0.3,29.2,,2026-05-06T20:08:29.064444+00:00
80,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.428203,0.9995,1.3450e-03,,26.7,0.3,27.0,,2026-05-06T20:09:18.485710+00:00
81,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,9.383724,1.0000,4.4504e-03,,26.6,0.1,26.7,,2026-05-06T20:10:07.647589+00:00
82,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,5.193295,1.0000,1.3450e-03,,24.8,0.3,25.1,,2026-05-06T20:10:32.965605+00:00
83,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_3.vnnlib,unsat,scenario,UNSAT,4.660185,1.0000,1.3450e-03,,25.5,0.3,25.8,,2026-05-06T20:11:29.074408+00:00
84,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.452727,0.9995,4.4504e-03,,28.6,0.1,28.7,,2026-05-06T20:12:20.184124+00:00
85,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNSAT,14.022133,0.9985,1.3450e-03,,29.1,0.3,29.4,,2026-05-06T20:13:12.012071+00:00
86,0,ACASXU_run2a_3_6_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.299796,0.9995,1.3450e-03,,28.7,0.3,29.1,,2026-05-06T20:13:52.990065+00:00
87,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.293965,0.9995,1.3450e-03,,30.1,0.3,30.4,,2026-05-06T20:14:53.672670+00:00
88,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,15.688783,1.0000,4.4504e-03,,30.2,0.1,30.3,,2026-05-06T20:15:47.517289+00:00
89,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,8.789539,0.9995,4.4504e-03,,27.9,0.1,28.1,,2026-05-06T20:16:15.846565+00:00
90,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,3.996401,0.9995,1.3450e-03,,26.5,0.3,26.7,,2026-05-06T20:16:42.859380+00:00
91,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_1.vnnlib,unsat,scenario,UNSAT,8.789539,0.9995,4.4504e-03,,29.2,0.1,29.3,,2026-05-06T20:17:42.491456+00:00
92,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.647217,1.0000,1.3450e-03,,30.0,0.3,30.2,,2026-05-06T20:18:35.446818+00:00
93,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.619105,0.9995,1.3450e-03,,28.7,0.3,29.0,,2026-05-06T20:19:27.162214+00:00
94,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_4.vnnlib,unsat,scenario,UNSAT,4.028908,0.9995,1.3450e-03,,28.6,0.3,28.9,,2026-05-06T20:20:18.688853+00:00
95,0,ACASXU_run2a_3_8_batch_2000.onnx,prop_2.vnnlib,sat,scenario,UNKNOWN,6.735633,1.0000,4.4504e-03,,29.1,0.1,29.2,,2026-05-06T20:21:10.693022+00:00
