instance_idx,box_idx,onnx_file,vnnlib_file,ground_truth,method,verdict,q,coverage,epsilon_total,amls_bounded_eps_2_upper,flow_train_s,verify_s,wall_s,error,timestamp
60,0,ACASXU_run2a_3_9_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.958579,0.9995,1.0000e-03,,28.8,0.1,28.9,,2026-05-06T19:53:49.287835+00:00
61,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.242738,1.0000,1.0000e-03,,29.9,0.1,30.0,,2026-05-06T19:54:49.206106+00:00
62,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,5.042088,0.9990,1.0000e-03,,29.8,0.1,29.9,,2026-05-06T19:55:49.813452+00:00
63,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.097198,1.0000,1.0000e-03,,30.2,0.1,30.3,,2026-05-06T19:56:44.378018+00:00
64,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,10.464707,0.9990,1.0000e-03,,29.8,0.1,29.9,,2026-05-06T19:57:14.493168+00:00
65,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,5.724533,1.0000,1.0000e-03,,29.3,0.1,29.4,,2026-05-06T19:58:06.547789+00:00
66,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,6.929574,1.0000,1.0000e-03,,29.0,0.1,29.1,,2026-05-06T19:58:58.406592+00:00
67,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_9.vnnlib,unsat,is_tilted,UNKNOWN,4.326838,1.0000,1.0000e-03,,29.3,0.5,29.8,,2026-05-06T19:59:29.985802+00:00
68,0,ACASXU_run2a_1_9_batch_2000.onnx,prop_7.vnnlib,sat,is_tilted,UNSAT,35.192654,1.0000,1.0000e-03,,26.9,0.2,27.2,,2026-05-06T20:00:10.063008+00:00
69,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,7.535172,1.0000,1.0000e-03,,28.3,0.1,28.4,,2026-05-06T20:00:38.720107+00:00
70,0,ACASXU_run2a_3_5_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,11.257613,1.0000,1.0000e-03,,27.4,0.1,27.5,,2026-05-06T20:01:31.523552+00:00
71,0,ACASXU_run2a_3_6_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,11.673091,1.0000,1.0000e-03,,29.3,0.1,29.4,,2026-05-06T20:02:23.780076+00:00
72,0,ACASXU_run2a_5_6_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,40.513744,0.9995,1.0000e-03,,29.0,0.1,29.1,,2026-05-06T20:02:53.114206+00:00
73,0,ACASXU_run2a_5_9_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,7.535172,1.0000,1.0000e-03,,24.9,0.1,25.0,,2026-05-06T20:03:40.834807+00:00
74,0,ACASXU_run2a_4_1_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,332.995483,1.0000,1.0000e-03,,30.1,0.1,30.2,,2026-05-06T20:04:36.073296+00:00
75,0,ACASXU_run2a_4_5_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,10.464707,0.9990,1.0000e-03,,29.6,0.1,29.7,,2026-05-06T20:05:28.266765+00:00
76,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,3.814319,0.9995,1.0000e-03,,28.8,0.1,28.9,,2026-05-06T20:06:19.780248+00:00
77,0,ACASXU_run2a_4_3_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.887973,1.0000,1.0000e-03,,27.5,0.1,27.6,,2026-05-06T20:07:09.946501+00:00
78,0,ACASXU_run2a_5_5_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,9.462578,1.0000,1.0000e-03,,27.4,0.1,27.5,,2026-05-06T20:07:59.858212+00:00
79,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.490927,0.9990,1.0000e-03,,28.9,0.1,29.0,,2026-05-06T20:08:51.402026+00:00
80,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.428203,0.9995,1.0000e-03,,26.7,0.1,26.8,,2026-05-06T20:09:40.866843+00:00
81,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,9.383724,1.0000,1.0000e-03,,26.6,0.1,26.7,,2026-05-06T20:10:07.823627+00:00
82,0,ACASXU_run2a_3_3_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,5.193295,1.0000,1.0000e-03,,24.8,0.1,24.9,,2026-05-06T20:11:03.214049+00:00
83,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.660185,1.0000,1.0000e-03,,25.5,0.1,25.6,,2026-05-06T20:11:51.421337+00:00
84,0,ACASXU_run2a_1_5_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,8.452727,0.9995,1.0000e-03,,28.6,0.1,28.7,,2026-05-06T20:12:42.554573+00:00
85,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNSAT,14.022133,0.9985,1.0000e-03,,29.1,0.1,29.2,,2026-05-06T20:13:23.876816+00:00
86,0,ACASXU_run2a_3_6_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.299796,0.9995,1.0000e-03,,28.7,0.1,28.8,,2026-05-06T20:14:23.216503+00:00
87,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.293965,0.9995,1.0000e-03,,30.1,0.1,30.3,,2026-05-06T20:15:17.128404+00:00
88,0,ACASXU_run2a_3_7_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,15.688783,1.0000,1.0000e-03,,30.2,0.1,30.3,,2026-05-06T20:15:47.731513+00:00
89,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,8.789539,0.9995,1.0000e-03,,27.9,0.1,28.1,,2026-05-06T20:16:16.060923+00:00
90,0,ACASXU_run2a_5_8_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.996401,0.9995,1.0000e-03,,26.5,0.1,26.6,,2026-05-06T20:17:13.136193+00:00
91,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,8.789539,0.9995,1.0000e-03,,29.2,0.1,29.3,,2026-05-06T20:18:05.166463+00:00
92,0,ACASXU_run2a_2_1_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.647217,1.0000,1.0000e-03,,30.0,0.1,30.1,,2026-05-06T20:18:58.135346+00:00
93,0,ACASXU_run2a_5_3_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.619105,0.9995,1.0000e-03,,28.7,0.1,28.8,,2026-05-06T20:19:49.783692+00:00
94,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.028908,0.9995,1.0000e-03,,28.6,0.1,28.7,,2026-05-06T20:20:41.416465+00:00
95,0,ACASXU_run2a_3_8_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,6.735633,1.0000,1.0000e-03,,29.1,0.1,29.2,,2026-05-06T20:21:10.909101+00:00
96,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,9.131055,1.0000,1.0000e-03,,29.7,0.1,29.8,,2026-05-06T20:22:11.112355+00:00
97,0,ACASXU_run2a_1_2_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,14.022133,0.9985,1.0000e-03,,27.1,0.1,27.2,,2026-05-06T20:23:08.575266+00:00
98,0,ACASXU_run2a_2_3_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,8.141217,1.0000,1.0000e-03,,30.1,0.1,30.2,,2026-05-06T20:23:39.068023+00:00
99,0,ACASXU_run2a_3_2_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,10.662302,1.0000,1.0000e-03,,29.6,0.1,29.8,,2026-05-06T20:24:39.134539+00:00
100,0,ACASXU_run2a_4_9_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,3.811904,1.0000,1.0000e-03,,29.3,0.1,29.4,,2026-05-06T20:25:31.395980+00:00
101,0,ACASXU_run2a_3_1_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.606270,0.9995,1.0000e-03,,27.7,0.1,27.8,,2026-05-06T20:26:22.097267+00:00
102,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.189683,1.0000,1.0000e-03,,28.0,0.1,28.1,,2026-05-06T20:27:13.046491+00:00
103,0,ACASXU_run2a_2_9_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,5.724533,1.0000,1.0000e-03,,28.5,0.1,28.6,,2026-05-06T20:27:41.829143+00:00
104,0,ACASXU_run2a_1_4_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,8.996649,1.0000,1.0000e-03,,28.1,0.1,28.2,,2026-05-06T20:28:10.208448+00:00
105,0,ACASXU_run2a_4_8_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.119376,0.9995,1.0000e-03,,27.1,0.1,27.2,,2026-05-06T20:29:00.192001+00:00
106,0,ACASXU_run2a_4_2_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,4.347111,0.9995,1.0000e-03,,29.0,0.1,29.1,,2026-05-06T20:29:52.012082+00:00
107,0,ACASXU_run2a_2_6_batch_2000.onnx,prop_1.vnnlib,unsat,is_tilted,UNSAT,5.243239,0.9985,1.0000e-03,,29.8,0.1,29.9,,2026-05-06T20:30:44.465974+00:00
108,0,ACASXU_run2a_4_6_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,9.180662,1.0000,1.0000e-03,,27.2,0.1,27.3,,2026-05-06T20:31:11.998786+00:00
109,0,ACASXU_run2a_5_4_batch_2000.onnx,prop_4.vnnlib,unsat,is_tilted,UNSAT,3.955501,0.9995,1.0000e-03,,25.8,0.1,25.9,,2026-05-06T20:32:00.651074+00:00
110,0,ACASXU_run2a_2_4_batch_2000.onnx,prop_3.vnnlib,unsat,is_tilted,UNSAT,4.032305,0.9995,1.0000e-03,,25.4,0.1,25.5,,2026-05-06T20:32:48.919944+00:00
111,0,ACASXU_run2a_3_4_batch_2000.onnx,prop_2.vnnlib,sat,is_tilted,UNKNOWN,9.131055,1.0000,1.0000e-03,,28.2,0.1,28.3,,2026-05-06T20:33:17.409256+00:00
